id,ts_source,ts_captured,btc_dominance_pct,usdt_dominance_pct,eth_dominance_pct,total_market_cap_usd,total3_usd,btc_market_cap_usd,fetch_status,usdc_dominance_pct,stablecoin_dominance_pct
9145,2026-08-07 04:16:16+00:00,2026-08-07 04:25:01.601675+00:00,56.64712252113089,8.053691419637872,10.059231606644378,2276178195106.832,757822707699.6652,1289389450981.4329,ok,3.1580651031303795,11.211756522768251
9147,2026-08-07 04:26:16+00:00,2026-08-07 04:35:01.317320+00:00,56.648208330453954,8.053304018334408,10.06050612421733,2276239496740.3706,757789390555.3901,1289448892213.5618,ok,3.1576404695207274,11.210944487855135
9149,2026-08-07 04:36:17+00:00,2026-08-07 04:45:01.360774+00:00,56.64896106418587,8.052340902358083,10.0628673511836,2276465096683.1123,757793607448.0997,1289593826259.7974,ok,3.158053757446263,11.210394659804344
9151,2026-08-07 04:46:17+00:00,2026-08-07 04:55:02.529279+00:00,56.63929764480346,8.05858560003691,10.061562815898524,2274214126563.792,757293735426.9044,1288098908224.6335,ok,3.1596762618991607,11.218261861936073
9153,2026-08-07 04:56:18+00:00,2026-08-07 05:05:01.430363+00:00,56.63274820275363,8.066531243411596,10.056480850482934,2272562807525.488,757008191436.1514,1287014772535.338,ok,3.160619167154869,11.227150410566466
9155,2026-08-07 05:06:18+00:00,2026-08-07 05:15:06.502749+00:00,56.64311401847716,8.061229688196274,10.06132745660844,2273577840829.4443,757000440602.8531,1287825288679.8533,ok,3.1583863227604607,11.219616010956734
9156,2026-08-07 05:16:19+00:00,2026-08-07 05:20:01.347539+00:00,56.64455799563533,8.061195433860853,10.064816026684364,2273949712681.8467,757012093769.4496,1288068763791.6514,ok,3.1583804820917964,11.21957591595265
9159,2026-08-07 05:26:19+00:00,2026-08-07 05:35:01.467661+00:00,56.63392988518892,8.068669498174476,10.064160502768088,2271974852163.909,756611011675.9724,1286708644783.6328,ok,3.160819004784246,11.229488502958722
9160,2026-08-07 05:36:20+00:00,2026-08-07 05:40:01.083730+00:00,56.64595889164266,8.06962848267009,10.062273150024945,2271733480815.833,756300239064.955,1286845213670.62,ok,3.161711695978109,11.2313401786482
9163,2026-08-07 05:46:21+00:00,2026-08-07 05:55:01.739835+00:00,56.66740890694688,8.06215275221007,10.062835304432877,2274201726091.3574,756621360411.181,1288731191493.0337,ok,3.158930165015587,11.221082917225656
9165,2026-08-07 05:56:21+00:00,2026-08-07 06:05:02.978981+00:00,56.67385581547919,8.049275387643846,10.069274578625484,2277487361438.395,757421002084.313,1290739903437.3574,ok,3.153843962304347,11.203119349948192
9167,2026-08-07 06:06:21+00:00,2026-08-07 06:15:06.732688+00:00,56.653680060082735,8.053853743866298,10.069762160546906,2276301756039.823,757474869081.414,1289608714068.8464,ok,3.1554890608142943,11.209342804680592
9169,2026-08-07 06:16:22+00:00,2026-08-07 06:25:01.416049+00:00,56.66268918517843,8.045674149224592,10.072320374748914,2278572739822.884,757967004072.1836,1291100589424.045,ok,3.1523345929956004,11.198008742220193
9171,2026-08-07 06:26:22+00:00,2026-08-07 06:35:01.175369+00:00,56.65285325524769,8.040538616393562,10.077612599754906,2279968389756.371,758534861925.1433,1291667146114.7107,ok,3.150947557484634,11.191486173878197
9173,2026-08-07 06:36:23+00:00,2026-08-07 06:45:06.144599+00:00,56.64102819917565,8.047817429395646,10.078006443537287,2277817605591.748,758079688219.1752,1290179312309.0093,ok,3.153192859168534,11.20101028856418
9175,2026-08-07 06:46:23+00:00,2026-08-07 06:55:09.114785+00:00,56.63637069648865,8.046006008043092,10.07803860257047,2278510010531.3984,758415516185.4463,1290465375921.1653,ok,3.1524320333407907,11.198438041383882
9177,2026-08-07 06:56:24+00:00,2026-08-07 07:05:01.371408+00:00,56.626153091062605,8.052197873381626,10.080904316309198,2277300089848.0005,758180211574.9651,1289547435220.2349,ok,3.1545645048406623,11.206762378222288
9179,2026-08-07 07:06:24+00:00,2026-08-07 07:15:07.873768+00:00,56.62097203203247,8.054505053794527,10.085536179831738,2277115883592.614,758131389710.2428,1289325147585.9429,ok,3.155581967013199,11.210087020807729
